id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
0,0,0,2,1,0,0,0,4,0,0,3,0
10,0,0,0,3,4,0,0,0,0,1,2,0
14,1,0,0,4,3,0,0,0,0,0,2,0
19,0,0,0,0,2,0,4,0,0,0,3,1
23,0,0,0,0,0,0,0,1,2,3,4,0
26,0,0,0,3,4,0,0,0,0,1,2,0
31,0,0,0,0,4,0,2,0,0,0,3,1
35,0,0,2,1,0,0,0,3,0,4,0,0
40,0,0,0,3,2,0,0,0,0,4,1,0
43,0,0,0,0,2,0,4,0,0,3,0,1
44,0,0,0,0,4,0,1,0,0,0,3,2
46,0,0,3,0,0,0,0,0,2,4,1,0
48,0,0,0,2,3,0,4,0,0,0,1,0
49,0,0,0,2,3,0,0,0,0,0,4,1
55,2,0,0,1,0,0,0,0,0,0,3,4
56,2,0,0,0,0,0,1,0,0,0,4,3
58,0,0,0,0,3,0,2,0,0,0,4,1
61,0,0,0,0,4,0,3,1,0,2,0,0
63,0,0,0,0,4,0,1,0,0,2,3,0
65,2,0,0,0,0,0,1,0,0,0,4,3
68,0,0,1,0,3,0,0,0,0,4,0,2
69,0,1,4,0,0,3,0,0,2,0,0,0
70,0,0,0,1,4,0,0,0,0,0,2,3
74,0,0,0,1,0,0,4,0,0,3,2,0
76,0,1,3,2,0,0,0,0,0,4,0,0
77,0,0,0,0,2,0,1,0,0,0,3,4
78,0,0,0,2,4,0,0,0,0,0,3,1
79,0,0,0,2,4,0,1,0,0,0,3,0
80,0,0,0,2,4,0,0,0,0,1,3,0
82,0,0,0,1,3,0,0,0,0,0,4,2
84,0,0,0,1,3,0,2,0,0,0,4,0
91,2,0,0,0,1,0,0,0,0,0,4,3
92,0,0,0,0,3,0,2,0,0,1,4,0
95,0,0,1,0,0,4,0,0,3,2,0,0
96,0,0,0,3,4,0,0,0,0,1,2,0
97,1,0,0,0,3,0,0,0,0,0,4,2
99,1,0,0,3,4,0,0,0,0,0,2,0
103,0,0,0,0,4,0,1,0,0,2,3,0
109,0,1,0,0,0,0,4,2,0,0,3,0
111,0,0,0,4,3,0,2,0,0,0,1,0
115,0,2,4,0,1,0,0,0,0,3,0,0
117,2,0,0,0,0,0,1,0,0,0,4,3
118,3,0,0,0,1,0,0,0,0,0,2,4
120,1,0,0,2,3,0,4,0,0,0,0,0
125,0,0,0,2,3,0,1,0,0,0,4,0
127,0,0,0,0,2,0,1,0,0,0,3,4
130,0,3,1,0,0,4,0,0,2,0,0,0
133,0,0,0,0,2,0,1,0,0,4,3,0
134,0,0,2,0,1,0,0,3,0,4,0,0
136,0,0,0,0,4,0,2,0,0,3,0,1
137,0,0,2,1,3,0,0,0,0,4,0,0
139,0,0,0,1,4,0,2,0,0,0,3,0
142,0,0,0,1,2,0,0,0,0,0,4,3
146,0,0,0,3,1,0,2,0,0,0,4,0
151,0,0,0,1,4,0,0,0,0,0,2,3
158,0,0,0,0,2,0,3,0,0,0,4,1
165,2,0,0,0,0,0,1,0,0,0,4,3
166,0,0,0,1,3,0,0,0,0,0,2,4
171,0,0,0,1,0,0,2,0,0,0,4,3
178,0,0,1,2,0,0,0,0,0,3,4,0
179,0,0,2,0,0,4,0,0,1,3,0,0
186,0,0,0,1,2,0,3,0,0,0,4,0
189,0,0,0,0,1,0,3,0,4,0,2,0
196,0,0,0,1,3,0,4,0,0,0,2,0
197,0,0,3,0,2,0,0,0,0,4,1,0
204,0,0,0,0,1,0,3,0,0,0,4,2
205,0,0,0,0,1,0,2,0,0,0,3,4
206,0,0,0,1,4,0,0,2,0,3,0,0
209,0,0,2,1,0,0,3,0,0,4,0,0
213,1,0,0,0,0,0,2,0,0,0,4,3
216,1,0,0,0,0,0,2,0,0,0,4,3
218,2,0,0,0,0,0,0,3,0,0,4,1
219,4,0,0,0,0,0,2,0,0,0,3,1
221,0,0,0,3,0,0,1,0,0,4,2,0
222,0,0,3,1,2,0,0,0,0,4,0,0
224,1,0,0,0,0,0,2,0,0,0,4,3
225,0,0,0,0,1,0,0,0,0,2,3,4
226,0,0,0,3,0,0,2,0,0,4,1,0
228,2,0,3,0,1,0,0,0,0,0,0,4
236,2,0,0,0,1,0,0,0,0,0,3,4
242,0,0,0,3,2,0,1,0,0,0,4,0
246,0,0,0,3,4,0,1,0,0,0,2,0
247,0,0,0,0,2,0,1,0,0,0,4,3
249,2,0,0,0,1,0,0,0,0,0,4,3
250,0,0,0,2,4,0,0,0,0,3,0,1
252,0,0,0,3,4,0,0,0,0,0,1,2
254,2,0,0,0,0,0,1,0,0,0,4,3
256,0,0,0,0,2,0,1,0,0,0,4,3
257,2,0,0,0,0,0,1,0,0,0,4,3
258,2,0,0,0,1,0,0,0,0,0,3,4
259,0,0,0,0,1,0,2,0,0,0,3,4
260,0,0,2,3,0,0,0,0,0,1,4,0
261,0,0,0,0,2,0,4,0,0,0,3,1
263,0,0,0,0,0,0,1,4,3,0,2,0
266,0,1,0,0,0,0,2,4,3,0,0,0
270,2,0,0,0,0,0,1,0,0,0,3,4
281,0,0,0,0,2,0,4,1,0,0,3,0
285,2,0,0,0,1,0,0,0,0,0,4,3
