id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
0,0,0,1,1,1,0,1,1,0,0,1,0
4,0,0,0,0,1,0,0,0,0,1,0,0
6,0,0,0,0,1,0,1,0,0,0,1,0
7,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,0,0,1,0,0,0,0,1,0,0
10,0,0,0,1,1,0,0,0,0,1,1,0
14,0,0,0,1,0,0,1,1,0,0,0,0
15,0,0,0,1,1,0,0,0,0,0,1,0
17,0,0,0,1,1,0,1,0,0,0,1,1
22,0,0,0,0,1,0,1,0,0,0,1,1
23,0,0,0,0,0,0,0,0,1,1,1,0
24,0,1,0,0,0,1,0,0,1,0,0,0
25,0,0,1,0,0,0,0,0,0,0,0,0
26,0,0,0,1,1,0,0,0,0,1,1,0
28,0,0,0,1,1,0,1,0,0,0,1,1
29,0,0,0,0,1,0,1,0,0,0,1,0
31,0,0,0,0,1,0,1,0,0,0,1,1
34,0,0,0,1,1,0,1,0,0,0,1,1
35,0,0,0,0,0,0,0,0,0,1,0,0
36,0,0,0,0,1,0,0,0,0,0,1,1
38,0,0,0,1,1,0,0,0,0,0,0,0
39,0,0,0,1,1,0,1,0,0,0,1,1
40,0,0,0,0,0,0,0,0,0,1,0,0
41,0,0,0,0,0,0,0,0,0,0,1,1
43,0,0,1,0,1,0,1,0,0,1,0,1
44,0,0,0,1,1,0,1,0,0,0,1,1
45,1,0,0,0,1,0,1,0,0,0,1,1
46,0,0,1,1,1,0,1,0,1,1,1,0
47,0,0,0,0,0,0,0,0,0,0,0,0
49,1,0,0,1,1,0,1,0,0,0,1,1
50,0,0,0,1,1,0,1,0,0,1,1,0
51,0,0,0,0,1,0,0,0,0,0,0,1
52,0,0,0,0,0,0,0,0,0,1,0,0
53,0,0,0,0,0,0,0,0,0,1,0,0
55,1,0,0,0,0,0,0,0,0,0,1,1
57,0,0,0,1,1,0,1,0,0,1,0,0
59,1,0,1,1,1,0,1,0,1,1,1,1
60,0,0,0,1,1,0,0,0,0,1,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,1,0,1,0,0,0,1,0
63,0,0,0,0,1,0,0,0,0,1,1,0
64,0,0,0,0,1,0,0,0,0,0,1,0
65,1,0,0,0,0,0,0,0,0,0,1,1
67,0,0,0,1,1,0,1,0,0,0,1,1
68,0,0,1,0,1,0,0,0,0,1,0,1
