dataset,candidate,n_voters,n_na,pct_na
scores_3_neg,Nicolas.Dupont.Aignan,898,90,10.022271714922049
scores_3_neg,Jean.Lassalle,898,82,9.131403118040089
scores_3_neg,Valérie.Pecresse,898,81,9.020044543429844
scores_3_neg,Eric.Zemmour,898,81,9.020044543429844
scores_3_neg,Marine.Le.Pen,898,79,8.797327394209354
scores_3_neg,Nathalie.Arthaud,898,57,6.347438752783964
scores_3_neg,Emmanuel.Macron,898,54,6.013363028953229
scores_3_neg,Fabien.Roussel,898,48,5.3452115812917596
scores_3_neg,Anne.Hidalgo,898,45,5.011135857461024
scores_3_neg,Philippe.Poutou,898,44,4.8997772828507795
scores_3_neg,Yannick.Jadot,898,24,2.6726057906458798
scores_3_neg,Jean.Luc.Mélenchon,898,17,1.8930957683741647
scores_3_pos,Nicolas.Dupont.Aignan,473,72,15.221987315010571
scores_3_pos,Eric.Zemmour,473,65,13.742071881606766
scores_3_pos,Marine.Le.Pen,473,64,13.530655391120508
scores_3_pos,Valérie.Pecresse,473,63,13.31923890063425
scores_3_pos,Jean.Lassalle,473,62,13.10782241014799
scores_3_pos,Nathalie.Arthaud,473,49,10.359408033826638
scores_3_pos,Anne.Hidalgo,473,47,9.936575052854122
scores_3_pos,Emmanuel.Macron,473,44,9.30232558139535
scores_3_pos,Fabien.Roussel,473,40,8.456659619450317
scores_3_pos,Philippe.Poutou,473,32,6.765327695560254
scores_3_pos,Yannick.Jadot,473,22,4.651162790697675
scores_3_pos,Jean.Luc.Mélenchon,473,11,2.3255813953488373
scores_4_neg,Nicolas.Dupont.Aignan,928,90,9.698275862068966
scores_4_neg,Eric.Zemmour,928,87,9.375
scores_4_neg,Jean.Lassalle,928,86,9.267241379310345
scores_4_neg,Marine.Le.Pen,928,84,9.051724137931034
scores_4_neg,Valérie.Pecresse,928,82,8.836206896551724
scores_4_neg,Nathalie.Arthaud,928,60,6.4655172413793105
scores_4_neg,Fabien.Roussel,928,60,6.4655172413793105
scores_4_neg,Emmanuel.Macron,928,51,5.495689655172414
scores_4_neg,Philippe.Poutou,928,47,5.064655172413793
scores_4_neg,Anne.Hidalgo,928,44,4.741379310344827
scores_4_neg,Yannick.Jadot,928,27,2.9094827586206895
scores_4_neg,Jean.Luc.Mélenchon,928,14,1.5086206896551724
scores_4_pos,Eric.Zemmour,914,178,19.474835886214443
scores_4_pos,Nicolas.Dupont.Aignan,914,174,19.037199124726477
scores_4_pos,Marine.Le.Pen,914,173,18.927789934354486
scores_4_pos,Valérie.Pecresse,914,172,18.818380743982495
scores_4_pos,Jean.Lassalle,914,151,16.52078774617068
scores_4_pos,Nathalie.Arthaud,914,131,14.332603938730854
scores_4_pos,Emmanuel.Macron,914,111,12.144420131291028
scores_4_pos,Fabien.Roussel,914,92,10.065645514223196
scores_4_pos,Anne.Hidalgo,914,89,9.737417943107221
scores_4_pos,Philippe.Poutou,914,77,8.424507658643327
scores_4_pos,Yannick.Jadot,914,41,4.485776805251641
scores_4_pos,Jean.Luc.Mélenchon,914,28,3.063457330415755
