dataset,strategy,candidate,total_score,rank
scores_3_neg,cluster_imp,Jean.Luc.Mélenchon,519.0589884513133,1
scores_3_neg,cluster_imp,Yannick.Jadot,362.3027653919613,2
scores_3_neg,cluster_imp,Philippe.Poutou,137.79021897677467,3
scores_3_neg,cluster_imp,Fabien.Roussel,6.0609774519869095,4
scores_3_neg,cluster_imp,Anne.Hidalgo,-55.60796968821794,5
scores_3_neg,cluster_imp,Nathalie.Arthaud,-154.19276317091018,6
scores_3_neg,cluster_imp,Emmanuel.Macron,-331.78478689994546,7
scores_3_neg,cluster_imp,Jean.Lassalle,-374.4817823407133,8
scores_3_neg,cluster_imp,Valérie.Pecresse,-641.4114799545582,9
scores_3_neg,cluster_imp,Nicolas.Dupont.Aignan,-736.3898959794293,10
scores_3_neg,cluster_imp,Marine.Le.Pen,-748.4210503652091,11
scores_3_neg,cluster_imp,Eric.Zemmour,-787.1223825869258,12
scores_3_neg,complete_case,Jean.Luc.Mélenchon,426,1
scores_3_neg,complete_case,Yannick.Jadot,299,2
scores_3_neg,complete_case,Philippe.Poutou,94,3
scores_3_neg,complete_case,Fabien.Roussel,-10,4
scores_3_neg,complete_case,Anne.Hidalgo,-67,5
scores_3_neg,complete_case,Nathalie.Arthaud,-144,6
scores_3_neg,complete_case,Emmanuel.Macron,-309,7
scores_3_neg,complete_case,Jean.Lassalle,-323,8
scores_3_neg,complete_case,Valérie.Pecresse,-551,9
scores_3_neg,complete_case,Nicolas.Dupont.Aignan,-623,10
scores_3_neg,complete_case,Marine.Le.Pen,-637,11
scores_3_neg,complete_case,Eric.Zemmour,-675,12
scores_3_neg,knn_imp,Jean.Luc.Mélenchon,514,1
scores_3_neg,knn_imp,Yannick.Jadot,363.40000000000003,2
scores_3_neg,knn_imp,Philippe.Poutou,132.00000000000003,3
scores_3_neg,knn_imp,Fabien.Roussel,7.79999999999999,4
scores_3_neg,knn_imp,Anne.Hidalgo,-49.79999999999998,5
scores_3_neg,knn_imp,Nathalie.Arthaud,-152.80000000000004,6
scores_3_neg,knn_imp,Emmanuel.Macron,-352.2,7
scores_3_neg,knn_imp,Jean.Lassalle,-377.79999999999995,8
scores_3_neg,knn_imp,Valérie.Pecresse,-645.1999999999999,9
scores_3_neg,knn_imp,Nicolas.Dupont.Aignan,-743.3999999999997,10
scores_3_neg,knn_imp,Marine.Le.Pen,-758.8000000000001,11
scores_3_neg,knn_imp,Eric.Zemmour,-795.0000000000001,12
scores_3_neg,lowest_rank,Jean.Luc.Mélenchon,492,1
scores_3_neg,lowest_rank,Yannick.Jadot,329,2
scores_3_neg,lowest_rank,Philippe.Poutou,87,3
scores_3_neg,lowest_rank,Fabien.Roussel,-42,4
scores_3_neg,lowest_rank,Anne.Hidalgo,-98,5
scores_3_neg,lowest_rank,Nathalie.Arthaud,-201,6
scores_3_neg,lowest_rank,Emmanuel.Macron,-366,7
scores_3_neg,lowest_rank,Jean.Lassalle,-420,8
scores_3_neg,lowest_rank,Valérie.Pecresse,-665,9
scores_3_neg,lowest_rank,Nicolas.Dupont.Aignan,-752,10
scores_3_neg,lowest_rank,Marine.Le.Pen,-761,11
scores_3_neg,lowest_rank,Eric.Zemmour,-797,12
scores_3_neg,mean_imp,Jean.Luc.Mélenchon,518.8217934165722,1
scores_3_neg,mean_imp,Yannick.Jadot,362.6933638443934,2
scores_3_neg,mean_imp,Philippe.Poutou,137.74941451990634,3
scores_3_neg,mean_imp,Fabien.Roussel,6.338823529411765,4
scores_3_neg,mean_imp,Anne.Hidalgo,-55.796014067995245,5
scores_3_neg,mean_imp,Nathalie.Arthaud,-153.7598097502972,6
scores_3_neg,mean_imp,Emmanuel.Macron,-331.9620853080565,7
scores_3_neg,mean_imp,Jean.Lassalle,-371.96568627451035,8
scores_3_neg,mean_imp,Valérie.Pecresse,-641.8996328029385,9
scores_3_neg,mean_imp,Nicolas.Dupont.Aignan,-735.7376237623766,10
scores_3_neg,mean_imp,Marine.Le.Pen,-747.7851037851051,11
scores_3_neg,mean_imp,Eric.Zemmour,-786.9865361077123,12
scores_3_neg,multiple_imp,Jean.Luc.Mélenchon,509.19999999999993,1
scores_3_neg,multiple_imp,Yannick.Jadot,357.4,2
scores_3_neg,multiple_imp,Philippe.Poutou,122.60000000000012,3
scores_3_neg,multiple_imp,Fabien.Roussel,12.600000000000131,4
scores_3_neg,multiple_imp,Anne.Hidalgo,-60.59999999999983,5
scores_3_neg,multiple_imp,Nathalie.Arthaud,-159.59999999999985,6
scores_3_neg,multiple_imp,Emmanuel.Macron,-346.8,7
scores_3_neg,multiple_imp,Jean.Lassalle,-370.00000000000017,8
scores_3_neg,multiple_imp,Valérie.Pecresse,-644.4000000000002,9
scores_3_neg,multiple_imp,Nicolas.Dupont.Aignan,-736.2000000000002,10
scores_3_neg,multiple_imp,Marine.Le.Pen,-749,11
scores_3_neg,multiple_imp,Eric.Zemmour,-785.5999999999999,12
scores_3_pos,cluster_imp,Jean.Luc.Mélenchon,732.186036086198,1
scores_3_pos,cluster_imp,Yannick.Jadot,597.8309051230906,2
scores_3_pos,cluster_imp,Philippe.Poutou,467.69171139140917,3
scores_3_pos,cluster_imp,Fabien.Roussel,424.5450977780389,4
scores_3_pos,cluster_imp,Anne.Hidalgo,388.39341176016643,5
scores_3_pos,cluster_imp,Nathalie.Arthaud,304.7912087912088,6
scores_3_pos,cluster_imp,Emmanuel.Macron,276.3300796180543,7
scores_3_pos,cluster_imp,Jean.Lassalle,196.9095167895168,8
scores_3_pos,cluster_imp,Valérie.Pecresse,113.85509859256359,9
scores_3_pos,cluster_imp,Nicolas.Dupont.Aignan,59.41846337719654,10
scores_3_pos,cluster_imp,Marine.Le.Pen,54.60383876508173,11
scores_3_pos,cluster_imp,Eric.Zemmour,45.68466541407723,12
scores_3_pos,complete_case,Jean.Luc.Mélenchon,576,1
