dataset,candidate,min_rank,max_rank,rank_range
scores_4_neg,Emmanuel.Macron,7,8,1
scores_4_neg,Jean.Lassalle,7,8,1
scores_4_pos,Emmanuel.Macron,6,7,1
scores_4_pos,Nathalie.Arthaud,6,7,1
scores_3_neg,Anne.Hidalgo,5,5,0
scores_3_neg,Emmanuel.Macron,7,7,0
scores_3_neg,Eric.Zemmour,12,12,0
scores_3_neg,Fabien.Roussel,4,4,0
scores_3_neg,Jean.Lassalle,8,8,0
scores_3_neg,Jean.Luc.Mélenchon,1,1,0
scores_3_neg,Marine.Le.Pen,11,11,0
scores_3_neg,Nathalie.Arthaud,6,6,0
scores_3_neg,Nicolas.Dupont.Aignan,10,10,0
scores_3_neg,Philippe.Poutou,3,3,0
scores_3_neg,Valérie.Pecresse,9,9,0
scores_3_neg,Yannick.Jadot,2,2,0
scores_3_pos,Anne.Hidalgo,5,5,0
scores_3_pos,Emmanuel.Macron,7,7,0
scores_3_pos,Eric.Zemmour,12,12,0
scores_3_pos,Fabien.Roussel,4,4,0
scores_3_pos,Jean.Lassalle,8,8,0
scores_3_pos,Jean.Luc.Mélenchon,1,1,0
scores_3_pos,Marine.Le.Pen,11,11,0
scores_3_pos,Nathalie.Arthaud,6,6,0
scores_3_pos,Nicolas.Dupont.Aignan,10,10,0
scores_3_pos,Philippe.Poutou,3,3,0
scores_3_pos,Valérie.Pecresse,9,9,0
scores_3_pos,Yannick.Jadot,2,2,0
scores_4_neg,Anne.Hidalgo,5,5,0
scores_4_neg,Eric.Zemmour,12,12,0
scores_4_neg,Fabien.Roussel,4,4,0
scores_4_neg,Jean.Luc.Mélenchon,1,1,0
scores_4_neg,Marine.Le.Pen,11,11,0
scores_4_neg,Nathalie.Arthaud,6,6,0
scores_4_neg,Nicolas.Dupont.Aignan,10,10,0
scores_4_neg,Philippe.Poutou,3,3,0
scores_4_neg,Valérie.Pecresse,9,9,0
scores_4_neg,Yannick.Jadot,2,2,0
scores_4_pos,Anne.Hidalgo,5,5,0
scores_4_pos,Eric.Zemmour,12,12,0
scores_4_pos,Fabien.Roussel,4,4,0
scores_4_pos,Jean.Lassalle,8,8,0
scores_4_pos,Jean.Luc.Mélenchon,1,1,0
scores_4_pos,Marine.Le.Pen,10,10,0
scores_4_pos,Nicolas.Dupont.Aignan,11,11,0
scores_4_pos,Philippe.Poutou,3,3,0
scores_4_pos,Valérie.Pecresse,9,9,0
scores_4_pos,Yannick.Jadot,2,2,0
