candidate,total_score,rank,strategy,dataset
Jean.Luc.Mélenchon,492,1,lowest_rank,scores_3_neg
Yannick.Jadot,329,2,lowest_rank,scores_3_neg
Philippe.Poutou,87,3,lowest_rank,scores_3_neg
Fabien.Roussel,-42,4,lowest_rank,scores_3_neg
Anne.Hidalgo,-98,5,lowest_rank,scores_3_neg
Nathalie.Arthaud,-201,6,lowest_rank,scores_3_neg
Emmanuel.Macron,-366,7,lowest_rank,scores_3_neg
Jean.Lassalle,-420,8,lowest_rank,scores_3_neg
Valérie.Pecresse,-665,9,lowest_rank,scores_3_neg
Nicolas.Dupont.Aignan,-752,10,lowest_rank,scores_3_neg
Marine.Le.Pen,-761,11,lowest_rank,scores_3_neg
Eric.Zemmour,-797,12,lowest_rank,scores_3_neg
Jean.Luc.Mélenchon,426,1,complete_case,scores_3_neg
Yannick.Jadot,299,2,complete_case,scores_3_neg
Philippe.Poutou,94,3,complete_case,scores_3_neg
Fabien.Roussel,-10,4,complete_case,scores_3_neg
Anne.Hidalgo,-67,5,complete_case,scores_3_neg
Nathalie.Arthaud,-144,6,complete_case,scores_3_neg
Emmanuel.Macron,-309,7,complete_case,scores_3_neg
Jean.Lassalle,-323,8,complete_case,scores_3_neg
Valérie.Pecresse,-551,9,complete_case,scores_3_neg
Nicolas.Dupont.Aignan,-623,10,complete_case,scores_3_neg
Marine.Le.Pen,-637,11,complete_case,scores_3_neg
Eric.Zemmour,-675,12,complete_case,scores_3_neg
Jean.Luc.Mélenchon,518.8217934165722,1,mean_imp,scores_3_neg
Yannick.Jadot,362.6933638443934,2,mean_imp,scores_3_neg
Philippe.Poutou,137.74941451990634,3,mean_imp,scores_3_neg
Fabien.Roussel,6.338823529411765,4,mean_imp,scores_3_neg
Anne.Hidalgo,-55.796014067995245,5,mean_imp,scores_3_neg
Nathalie.Arthaud,-153.7598097502972,6,mean_imp,scores_3_neg
Emmanuel.Macron,-331.9620853080565,7,mean_imp,scores_3_neg
Jean.Lassalle,-371.96568627451035,8,mean_imp,scores_3_neg
Valérie.Pecresse,-641.8996328029385,9,mean_imp,scores_3_neg
Nicolas.Dupont.Aignan,-735.7376237623766,10,mean_imp,scores_3_neg
Marine.Le.Pen,-747.7851037851051,11,mean_imp,scores_3_neg
Eric.Zemmour,-786.9865361077123,12,mean_imp,scores_3_neg
Jean.Luc.Mélenchon,507.5080723997351,1,cluster_imp,scores_3_neg
Yannick.Jadot,357.8840197885021,2,cluster_imp,scores_3_neg
Philippe.Poutou,114.2989735781757,3,cluster_imp,scores_3_neg
Fabien.Roussel,-2.3011600606176996,4,cluster_imp,scores_3_neg
Anne.Hidalgo,-62.82582726800567,5,cluster_imp,scores_3_neg
