id,Nathalie Arthaud,Nicolas Dupont-Aignan,Valérie Pecresse,Anne Hidalgo,Yannick Jadot,Eric Zemmour,Fabien Roussel,Jean Lassalle,Marine Le Pen,Emmanuel Macron,Jean-Luc Mélenchon,Philippe Poutou
0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0
1,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0
3,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
10,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0
11,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
13,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0
14,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
16,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0
17,1.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0
18,1.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0
19,1.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0
21,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
25,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0
32,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
33,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0
36,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0
38,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
42,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0
47,1.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0
56,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0
57,,,1.0,1.0,2.0,,2.0,,,1.0,,
60,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0
65,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0
71,1.0,,,,1.0,,3.0,,,,1.0,2.0
75,1.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0
83,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
85,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0
86,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
89,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,2.0,0.0,2.0
91,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0
93,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
94,2.0,1.0,,0.0,2.0,3.0,3.0,0.0,2.0,0.0,2.0,2.0
100,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0
102,1.0,0.0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0
108,1.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0
110,1.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0
111,,,,2.0,1.0,,,,,,,
112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0
114,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
115,,,2.0,,1.0,,,,,2.0,,
120,2.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0
124,,3.0,2.0,,,,,,,,,
126,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0
127,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0
128,,,,1.0,3.0,,2.0,,,2.0,3.0,1.0
129,,,1.0,,,2.0,,,2.0,1.0,,
131,0.0,1.0,2.0,0.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0
132,1.0,,3.0,,2.0,,2.0,1.0,,2.0,3.0,
133,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0
134,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0
137,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
139,1.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0
140,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0
142,,0.0,,1.0,1.0,,0.0,,,,1.0,3.0
148,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,2.0,3.0,2.0
156,0.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0
160,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
161,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0
171,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0
172,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
174,1.0,,,1.0,2.0,,1.0,,,,3.0,1.0
175,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
179,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
182,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
183,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
184,2.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0
186,1.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,3.0,1.0
188,,,,1.0,3.0,,1.0,1.0,,,2.0,1.0
189,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0
190,,,1.0,,2.0,,,,,3.0,0.0,
191,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0
193,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0
194,0.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0
