dataset,strategy,winner,total_score
scores_3_neg,lowest_rank,Jean.Luc.Mélenchon,492
scores_3_neg,complete_case,Jean.Luc.Mélenchon,426
scores_3_neg,mean_imp,Jean.Luc.Mélenchon,518.8217934165722
scores_3_neg,cluster_imp,Jean.Luc.Mélenchon,507.5080723997351
scores_3_neg,knn_imp,Jean.Luc.Mélenchon,521
scores_3_neg,multiple_imp,Jean.Luc.Mélenchon,509.20000000000005
scores_3_pos,lowest_rank,Jean.Luc.Mélenchon,715
scores_3_pos,complete_case,Jean.Luc.Mélenchon,576
scores_3_pos,mean_imp,Jean.Luc.Mélenchon,732.0238095238094
scores_3_pos,cluster_imp,Jean.Luc.Mélenchon,726.2416171399221
scores_3_pos,knn_imp,Jean.Luc.Mélenchon,730
scores_3_pos,multiple_imp,Jean.Luc.Mélenchon,725.2
scores_4_neg,lowest_rank,Jean.Luc.Mélenchon,1107
scores_4_neg,complete_case,Jean.Luc.Mélenchon,956
scores_4_neg,mean_imp,Jean.Luc.Mélenchon,1138.1706783369805
scores_4_neg,cluster_imp,Jean.Luc.Mélenchon,1126.2131933744222
scores_4_neg,knn_imp,Jean.Luc.Mélenchon,1136
scores_4_neg,multiple_imp,Jean.Luc.Mélenchon,1130.4000000000003
scores_4_pos,lowest_rank,Jean.Luc.Mélenchon,1981
scores_4_pos,complete_case,Jean.Luc.Mélenchon,1510
scores_4_pos,mean_imp,Jean.Luc.Mélenchon,2043.604966139956
scores_4_pos,cluster_imp,Jean.Luc.Mélenchon,2023.9761259836973
scores_4_pos,knn_imp,Jean.Luc.Mélenchon,2047
scores_4_pos,multiple_imp,Jean.Luc.Mélenchon,2027.2
